#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
desc_national_tragedy;Our nation mourns another young girl lost to the coal fields.;Notre nation déplore la perte d'une nouvelle jeune fille dans les mines de charbon.;Unser Nation betrauert ein weiteres Mädchen, das den Kohlefeldern zum Opfer fiel.;;;;;;;;;;;
western_influences;Western Influences;Influences occidentales;Westlicher Einfluss;;;;;;;;;;;
desc_western_influences;Our government pursues a policy of active encouragment of Western Influences.;Notre gouvernement mène une politique visant à encourager les influences occidentales.;Unsere Regierung verfolgt eine Politik, die westliche Einflüsse aktiv fördert.;;;;;;;;;;;
uncivilized_isolationism;Isolationism;Isolationnisme;Isolationismus;;;;;;;;;;;
desc_uncivilized_isolationism;Our country has closed its ports and borders to foreigners.;Notre pays a fermé ses ports et ses frontières aux étrangers.;Unser Land hat seine Häfen und Grenzen für Ausländer geschlossen.;;;;;;;;;;;
western_presence;Western Presence;Présence occidentale;Westliche Präsenz;;;;;;;;;;;
desc_western_presence;An expatriate community of foreigners, from various European countries and Great Powers, has formed here.;Une communauté d'expatriés issus de différents pays européens et de grandes puissances s'est formée ici.;Eine Ausländergemeinde aus verschiedenen europäischen Ländern und Großmächten hat sich hier gebildet.;;;;;;;;;;;
foreign_smugglers;Foreign Smugglers;Contrebandiers étrangers;Ausländische Schmuggler;;;;;;;;;;;
desc_foreign_smugglers;A smuggling ring run by foreigners operates in this province.;Un cercle de contrebandiers dirigé par des étrangers sévit dans cette province.;Ein von Ausländern geführter Schmugglerring arbeitet in dieser Provinz.;;;;;;;;;;;
foreign_trading_post;Foreign Trading Post;Comptoir étranger;Ausländischer Handelsposten;;;;;;;;;;;
desc_foreign_trading_post;A separate class of our citizens, kept apart from the general populace, administer a trading post for foreigners in this province.;Une catégorie distincte de nos citoyens, tenue à l'écart du reste de la population, gère un comptoir réservé aux étrangers de cette province.;Eine separate Klasse unserer Bürger, die von der allgemeinen Bevölkerung ferngehalten wird, betreibt einen Handelsposten in dieser Provinz.;;;;;;;;;;;
silk_famine;Silk Famine;Épidémie de pébrine;Seidenhungersnot;;;;;;;;;;;
desc_silk_famine;A local outbreak of Pébrine prevents local silk farms from operating at full capacity;Une épidémie locale de pébrine empêche les élevages de vers à soie de fonctionner à pleine capacité.;Eine lokale Epidemie der Pébrine-Krankheit hindert lokale Seidenproduzenten daran, mit voller Kapazität zu arbeiten;;;;;;;;;;;
naval_school;Naval School;École navale;Marineschule;;;;;;;;;;;
desc_naval_school;The Merchant Marine operates a Naval School in this province, providing lessons in leadership and education in the latest naval technologies;La marine marchande possède une École navale dans cette province. Outre l'art du commandement, on y apprend à utiliser les dernières technologies navales.;Die Handelsmarine betreibt eine Marineschule in dieser Provinz, wo sie Unterricht in Führungstum und den neuesten Flottentechnologien anbietet;;;;;;;;;;;
trade_restrictions;Trade Restrictions;Restrictions commerciales;Handelsbeschränkungen;;;;;;;;;;;
desc_trade_restrictions;Our country has a policy of regulating and banning certain imports and exports.;Notre pays régule et interdit certaines importations et exportations.;Es ist die Politik unseres Landes, gewisse Im- und Exporte zu regulieren und zu unterbinden.;;;;;;;;;;;
colonial_dry_spell;Dry Spell;Sécheresse;Trockenphase;;;;;;;;;;;
colonial_dry_spell_desc;Very little rain has fallen in this province during the summer, and farms are suffering.;Il a très peu plu dans cette province pendant l'été et les exploitations agricoles souffrent de ce manque d'eau.;Diesen Sommer ist in dieser Provinz nur wenig Regen gefallen, und die Farmen leiden.;;;;;;;;;;;
colonial_exploitation;Colonial Exploitation;Exploitation coloniale;Koloniale Ausbeutung;;;;;;;;;;;
colonial_exploitation_desc;We are milking this province for all that it is worth.;Nous exploitons toutes les richesses de cette province.;Wir pressen den letzten Heller aus dieser Provinz.;;;;;;;;;;;
colonial_museum_of_natural_history;Museum of Natural History;Museum d'histoire naturelle;Naturgeschichtliches Museum;;;;;;;;;;;
colonial_museum_of_natural_history_desc;A Museum of Natural History has been established in this province.;Un museum d'histoire naturelle a ouvert ses portes dans cette province.;Ein Naturgeschichtliches Museum wurde in dieser Provinz errichtet.;;;;;;;;;;;
colonial_mismanagement;Colonial Mismanagement;Mauvaise gestion coloniale;Koloniale Fehlverwaltung;;;;;;;;;;;
colonial_mismanagement_desc;The small sums afforded the Colonial Office (Administration Spending) has meant that this colony has fallen into a state of bureaucratic disrepair.;Compte tenu des sommes dérisoires octroyées au Bureau colonial (dépenses administratives), cette colonie est en situation de ruine bureaucratique.;Die geringen Summen, die wir dem Kolonialamt zuweisen (Verwaltungsausgaben), haben diese Kolonie in einen Zustand bürokratischen Verfalls sinken lassen.;;;;;;;;;;;
colonial_recruitment;Land! Liberty! Labour!;Terre! Liberté! Travail!;Land! Freiheit! Arbeit!;;;;;;;;;;;
colonial_recruitment_desc;A government campaign is attracting immigrants to this province with promises of land and opportunities.;Une campagne gouvernementale promettant terres et opportunités attire les immigrants vers cette province.;Eine Regierungskampagne zieht Einwanderer mit Versprechungen von Land und Zukunftsgelegenheiten in die Provinz.;;;;;;;;;;;
baby_boom;Baby Boom;Baby Boom;Baby-Boom;;;;;;;;;;;
loyal_askaris;Gurkhas, Askaris & Tirailleurs;Gurkhas, Askaris et tirailleurs;Gurkhas, Askaris & Tirailleure;;;;;;;;;;;
loyal_askaris_desc;The people in this province are generally supportive of our rule, and several of them serve, or are willing to serve, in colonial military regiments;Généralement, les habitants de cette province vous soutiennent. D'ailleurs, certains servent ou sont prêts à servir dans les régiments militaires coloniaux.;Die Menschen in dieser Provinz unterstützen unsere Regierung zum Großteil, und viele von ihnen dienen in kolonialeigenen Militärregimentern, bzw. sind gewillt, dort zu dienen.;;;;;;;;;;;
female_suffrage;Woman's Suffrage;Droit de vote des femmes;Frauenwahlrecht;;;;;;;;;;;
female_suffrage_desc;Our country accords women legal equality with men, and the right to vote in general elections.;Notre pays accorde aux femmes la même égalité qu'aux hommes ainsi que le droit de voter lors des élections générales.;Unser Land gewährt Frauen denselben Rechtsstatus wie Männern sowie das Wahlrecht für Parlamentswahlen.;;;;;;;;;;;
labor_union;Labor Union;Syndicat professionnel;Arbeitergewerkschaft;;;;;;;;;;;
desc_labor_union;Workers have joined forces and created a labor union in your province.;Les salariés de votre province ont uni leurs forces pour créer un syndicat professionnel.;Die Arbeiter haben sich zusammengeschlossen und eine Gewerkschaft in Ihrer Provinz gegründet.;;;;;;;;;;;
militant_trade_union;Militant Trade Union;;;;;;;;;;;;;
worker_union;Worker's Union;Syndicat de salariés;Arbeitergewerkschaft;;;;;;;;;;;
strike_solution;Strike Solution;Une solution à la grève;Streiklösung;;;;;;;;;;;
desc_strike_solution;Your generosity have stopped the strike.;Votre générosité a mis fin à la grève.;Ihre Großzügigkeit hat den Streik gestoppt.;;;;;;;;;;;
province_strike;Province Strike;Grève provinciale;Provinzstreik;;;;;;;;;;;
desc_province_strike;Workers have gone on strike in your province.;Les salariés de votre province se sont mis en grève.;Die Arbeiter streiken in Ihrer Provinz.;;;;;;;;;;;
may_day;May Day;;;;;;;;;;;;;
may_day_desc;Our nation celebrates socialism. Let the greedy capitalists of the land shake in their boots!;;;;;;;;;;;;;
black_shirts;Blackshirts;Les Chemises noires;Schwarzhemden;;;;;;;;;;;
desc_black_shirts;Blackshirts are provoking the residents in the province.;Les Chemises noires provoquent les habitants de la province.;Schwarzhemden provozieren die Bewohner der Provinz.;;;;;;;;;;;
free_corps;Free Corps;Les Corps francs;Freikorps;;;;;;;;;;;
desc_free_corps;Inspired by the Blackshirts, the Free Corps are a nuisance in your province.;Inspirés par les Chemises noires, les Corps francs sont un véritable fléau pour votre province.;Das Freikorps wurde inspiriert von den Schwarzhemden und ist eine Plage in Ihrer Provinz.;;;;;;;;;;;
the_massacre;The Massacre;Le massacre;Das Massaker;;;;;;;;;;;
desc_the_massacre;A group of people consisting of socicialists and liberals have been murdered.;Un groupe de socialistes et de libéraux a été assassiné.;Eine aus Sozialisten und Liberalen bestehende Gruppe wurde ermordet.;;;;;;;;;;;
fascist_welfare;Fascist Welfare;État providence et fascisme;Faschistische Wohlfahrt;;;;;;;;;;;
desc_fascist_welfare; ; ;;;;;;;;;;;;
beer_hall_putsch;Beer Hall Putsch;Le putsch de la Brasserie;Bierkellerputsch;;;;;;;;;;;
desc_beer_hall_putsch; ; ;;;;;;;;;;;;
local_opium_habit;Opium Problem;Le problème de l'opium;Opiumproblem;;;;;;;;;;;
desc_local_opium_habit;Our subjects in this province have taken to opium eating on an epidemic scale.;La consommation d'opium de cette province atteint un seuil épidémique.;Unsere Untertanen in dieser Provinz konsumieren Opium in erschreckendem Maße.;;;;;;;;;;;
sayings_of_the_dutch;Sayings of The Dutch;Études hollandaises;Holländische Sprichwörter;;;;;;;;;;;
desc_sayings_of_the_dutch;We have translated a large amount of western literature and incorporated it fully into our national body of knowledge, boosting our scientific research.;Nous avons traduit un grand nombre d'œuvres littéraires occidentales pour les incorporer à nos connaissances nationales et ainsi relancer notre recherche scientifique.;Wir haben eine große Menge westlicher Literatur übersetzt und sie in unseren nationalen Wissenskanon einfließen lassen, was unsere wissenschaftliche Forschung auf neue Höhen treibt.;;;;;;;;;;;
european_military_mission;Military Mission;Mission militaire;Militärmission;;;;;;;;;;;
desc_european_military_mission;A Great Power has established a military mission in this province.;Une grande puissance a établi une mission militaire dans cette province.;Eine Großmacht hat eine Militärmission in dieser Provinz eingerichtet.;;;;;;;;;;;
extraterritoriality_granted;Extraterritoriality Granted;Exterritorialité accordée;Extraterritorialität gewährt;;;;;;;;;;;
desc_extraterritoriality_granted;Our country has granted extraterritoriality to citizens of the Great Powers.;Notre pays a accordé l'exterritorialité aux citoyens des grandes puissances.;Unser Land hat Bürgern der Großmächte Extraterritorialität gewährt.;;;;;;;;;;;
military_reform;Military Reform;Réforme militaire;Militärreform;;;;;;;;;;;
desc_military_reform;We are in the process of reforming our army to European standards;Nous sommes en train de réformer notre armée selon les normes européennes.;Wir reformieren gerade unsere Armee auf europäische Standards.;;;;;;;;;;;
educational_reform;Educational Reform;Réforme de l'éducation;Bildungsreform;;;;;;;;;;;
desc_educational_reform;We have reformed our educational system. While this helps our research, it is also highly unpopular among the traditionalists.;Nous avons réformé notre système éducatif. Cela favorise notre recherche mais déplaît aux traditionnalistes.;Wir haben unser Bildungssystem reformiert. Dies hilft zwar unserer Forschung, ist aber auch bei den Traditionalisten sehr unbeliebt.;;;;;;;;;;;
legation_quarter;Legation Quarter;Quartier des légations;Legationsviertel;;;;;;;;;;;
kettler_denkmal;Memorial to Foreign Diplomat;Monument dédié à un diplomate étranger;Gedenkstätte an ausländischen Diplomaten;;;;;;;;;;;
desc_kettler_denkmal;This memorial to a foreign diplomat stands as a permanent reminder to our people that our independence is being sold short by our government.;Ce monument dédié à un diplomate étranger rappelle au peuple que notre gouvernement a renoncé à notre indépendance.;Diese Gedenkstätte an einen ausländischen Diplomaten dient als permanente Erinnerung an unser Volk, dass unsere Regierung mit unserer Unabhängigkeit Schindluder treibt.;;;;;;;;;;;
local_economic_downturn;Local Economic Downturn;Ralentissement économique local;Lokale Wirtschaftskrise;;;;;;;;;;;
desc_local_economic_downturn;This province has taken a temporary economic hit, but should recover within a few years.;Cette province connaît un ralentissement économique momentané, mais devrait se rétablir d'ici quelques années.;Die Provinz befindet sich in einer vorübergehenden Wirtschaftskrise, sollte sich aber innerhalb weniger Jahre wieder erholen.;;;;;;;;;;;
free_staters;Free-Staters;Free-Staters;Freistaatler;;;;;;;;;;;
desc_free_staters;Free-Staters are active in this province, working to ensure its accession into the Union as a free state.;Les Free-Staters de cette province militent pour son accession à l'Union en tant qu'État libre.;Freistaatler sind in dieser Provinz aktiv, wo sie sich darum bemühen, die Provinz als freien Staat der Union anzufügen.;;;;;;;;;;;
