EVT9990008OPTA;Let's see them try it!;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT9990008OPTB;We will abide by their wishes.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME9990016;The Formation of the East India Company;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC9990016;The East India Company is the colonial administration in British India.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA9990016;Let the Company prosper.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC15310;As she makes her way through the city, dodging shadows as if they were $COUNTRY_ADJ$ soldiers, the illuminated clock-tower of the church seems to glare at her like a mean, infected yellow eye. She's already late, but class is still in session.\n\nAn underground university has formed in $PROVINCENAME$, providing higher education despite the ban on minority languages in academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME90141;The $FROMCOUNTRY_ADJ$-$COUNTRY_ADJ$ $CAPITAL$ Treaty of $YEAR$;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC90141;$FROMCOUNTRY$ neglected the occupation of a large area in the Bight of Biafra to which it had historical rights, and the $COUNTRY_ADJ$ have been busily expanding their occupation at the expense of the area claimed by $FROMCOUNTRY$. That's what they claim, at least, and the other Great Powers seem to mostly agree with them. A settlement was proposed where they would get a part of what they claim and the issue would be solved. Based on the terms of the treaty, Rio Muni would be relieved of all conflicting claims. $FROMCOUNTRY$ would be left with a mere 26,000 km2 out of the 300,000 stretching east to the Ubangi river which they initially claimed. We can, of course, ignore all this, but our reputation would surely suffer.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT90141OPTA;They will have their land.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT90141OPTB;No deal.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT13370OPTA;For the glory of the Qing dynasty!;;;;;;;;;;;;;;;;;;;;;.;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT13365OPTA;The land belongs to us!;;;;;;;;;;;;;;;;;;;;;.;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT13365OPTB;Disavow all knowledge of their activities.;;;;;;;;;;;;;;;;;;;;;.;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC12080;A strange fever has erupted among the livestock in $PROVINCENAME$, and the livestock are reported dying en masse. The veterinarian at the local garrison has been criss-crossing the province trying to what little can be done to stave off the effects of this, apparently quite contagious, disease. While the disease itself will eventually dissipate, the question of reimbursement for hundreds of ruined farmers and their families still requires attention.;;;;;;;;;;;;;;;;;;;;;.;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC36941;It happened that a slave girl belonging to Heke, Kotiro by name, was living at Kororareka with a butcher named Lord. Heke, having a colourable right to recover his slave. A karere [messenger] was sent ahead, to announce the intention and the message was delivered to the woman in the butcher's shop. Kotiro answering contemptuously of their power to take her away, pointing to one of the hogs, said, ina a Heke [that is Heke]. In any event Heke used the insult as a reason to enter the town, to demand payment from Lord as compensation for the insult. Satisfaction was refused: for several days Heke and his warriors remained in the town persisting in the demand, but, in reality, feeling their way, trying the temper of the Pakeha. They then proceeded to the flagstaff, which they deliberately cut down, purposely with the intention of insulting the government, and of expressing their contempt of $COUNTRY_ADJ$ authority.\nDisenchanted with $COUNTRY_ADJ$ authority and in conflict over the Treaty of Waitangi, Maori Chief Hone Heke had the flagstaff in Kororareka repeatedly chopped down in protest.;;;;;;;;;;;;;;;;;;;;.;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME31100;The Discovery of Troy;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC31100;"In excavating this wall further and directly by the side of the palace of King Priam, I came upon a large copper article of the most remarkable form, which attracted my attention all the more as I thought I saw gold behind it. In order to withdraw the treasure from the greed of my workmen, and to save it for archeology, I immediately had lunch break called and while the men were eating and resting, I cut out the Treasure with a large knife. It would, however, have been impossible for me to have removed the Treasure without the help of my dear wife, who stood by me ready to pack the things which I cut out in her shawl and to carry them away.\nA $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia as well other numerous findings of the so called 'Aegean civilizations'. The treasures found where named 'Priam's treasure' and were acquired by several $CAPITAL$ museums. These discoveries led to an explosion of talent in archeology and captured the imagination of millions.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
EVTNAME21527;The $YEAR$ $PROVINCENAME$ Earthquake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESC21527;Countless gained the open streets before the final crash came. Walls fell to the right of them, roofs crashed to the left of them, cornices and chimneys toppled before them, while death stalked in their wake to destroy any who hesitated or paused. Other countless were too late or were held prisoners of jammed doors and fallen stairways.\nIn $YEAR$ an earthquake struck $PROVINCENAME$, greatly damaging buildings. While $COUNTRY_ADJ$ authorities are still counting the injured and calculating the damage costs, relief and aid is slowly arriving.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTNAME46800;The Lost City of the Incas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESC46800;"Believed to be a estate built for the Inca emperor Pachacuti, Machu Picchu was built around 1450 but it was abandoned a century later at the time of the Spanish Conquest. Although known locally, it was not known to the Spanish during the colonial period and remained unknown to the outside world until a $COUNTRY_ADJ$ historian brought it to international attention in $YEAR$. Machu Picchu was built in the classical Inca style, with polished dry-stone walls. Its three primary structures are the Inti Watana, the Temple of the Sun, and the Room of the Three Windows. $COUNTRY_ADJ$ researchers believe this to be the fabled 'Lost City of the Incas', the last Inca capital, founded by Manco Inca but lost to the ages, the fire and the steel of the Spanish conquest.";;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA46800;At last the mystery is solved.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME30089;The Armenian Community in $PROVINCENAME$;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC30089;Due to incentives and new legislation passed by the Armenian government, the Armenians in our lands are leaving for their newly established nation. We could try and match these incentives to make them stay, or we can simply let them go and return from their diaspora.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21526;$YEAR$ Messina Earthquake;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21526;The earth began to pulsate. Slowly and in rhythmic measure at first as though trying its strength and then with a wild and frenzied burst like  the dance of a million imps. It rocked not only Messina, but half of Sicily and all of Calabria like a raft in a storm. The first crash from the heavens reached every ear in Messina. The houses had begun to vomit terror-stricken men before even the fantastic dance of earth began. Full well did those who dwelt in the shadow of majestic but death-dealing Etna know what the artillery of the heavens portended. Science may present its theories. Those who dwell in the shadow of death have no use for them.\nAt least 91% of structures in Messina were destroyed or irreparably damaged and tens of thousands were killed. The ensuing tsunami, fires and chaos amplified the destruction, with the $COUNTRY_ADJ$ government completely losing control over the affected areas. It was the most destructive earthquake to ever strike Europe.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21525;The Great Neapolitan Earthquake;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21525;At night and centered in the town of Montemurro, an earthquake shook the province of Potenza, in southern Italy. Several towns were destroyed, and estimated fatalities were number in the thousands. At this time it, it is the third largest known earthquake, with the main places suffering damage being Potenza, Polla, Diano, Sala, and Padula in the Val di Diano, and Tito, Sarconi, Marsico Nuovo, Saponara, and Montemurro. The latter two places, along with Padula and Polla, were virtually completely destroyed.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB21520;Spare no expenses to mitigate this disaster.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21524;The Ansei Great Earthquakes;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21524;A series of major earthquakes struck Japan during the Ansei era became known as the Ansei Great Earthquakes. Scores of people died while tsunamis and fires destroyed thousands of buildings.  In Edo alone, a total of about 50,000 houses and over 50 temples were either destroyed by the earthquake shaking or subsequent fires. The earthquakes were blamed on a giant catfish, Namazu, thrashing about and Ukiyo-e prints depicting Namazu became very popular around this time. The significance being that earthquakes at the time were popularly attributed to the thrashing about of a mythological catfish under the earth, normally kept under control by the deity Kashima using a large rock.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA21524;We pray that Kashima favor us.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21523;The $YEAR$ Sanriku Earthquake;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21523;On the evening of $YEAR$, communities along the Sanriku coast in northern Japan were celebrating a Shinto holiday. After a small earthquake, there was little concern because it was so weak and many small tremors had also been felt in the previous few months. However 35 minutes later the first tsunami wave struck the coast, followed by a second a few minutes later. The waves reached a height of 38.2m and caused such damage that the event is one of the most destructive seismic events in Japanese history. The power of the tsunami was great: large numbers of victims were found with broken bodies or missing limbs. As was their normal practice each evening, the local fishing fleets were all at sea when the tsunamis struck. In the deep water the wave went unnoticed. Only when they returned the next morning did they discover the debris and bodies.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21521;The $YEAR$ Iquique Earthquake;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21521;Houses crumbled in the middle of the night as the earth itself threatened to rip apart. The shaking lasted for five minutes at Caleta Pabellón de Pica, a coastal town 70km south of Iquique. The earthquake caused significant damage over most of the coastal parts of the Tarapacá and Antofagasta Regions. The tsunami caused a 10m  wave along about 500km of coast, from Arica in the north to Mejillones in the south. At Arica the water reached the cathedral. The hulk of the U.S. gunboat Wateree, which had been beached hundreds of meters inland by the final wave of the tsunami triggered by the Arica earthquake, was moved several kilometers to the north along the coast and nearer the shoreline.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21522;The $YEAR$ Arica Earthquake;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21522;In a calm night of $YEAR$ in Arica, the earth suddenly shook and started to sunder. The earthquake shaking lasted somewhere between five and ten minutes and caused almost complete destruction in the southern part of Peru, including Arica, Tacna, Moquegua, Mollendo, Ilo, Iquique, Torata and Arequipa. Then, the first wave arrived at Arica 52 minutes after the earthquake, with a 12m height, followed by the largest 16m wave 73 minutes later. The  tsunami drove three ships anchored in port nearly 800m inland: the 1560-ton Peruvian corvette America, the U.S. gunboat Wateree and the U.S. store ship Fredonia, which was completely destroyed, as well as causing considerable damage in Hawaii, washing out a bridge along the Waiohi river. The port city of Pisco, in Ica, was razed.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME60141;Trade Unions Legalized;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC60141;As the Left solidify their control of the government, they push a sweeping and comprehensive reform over trade unions bringing them out of the shadows of illegality and into the realm of workers rights.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA60141;The workers have prevailed.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC60140;With a more liberal regime firmly in control of our country, they feel that now is the time for a constitutional convention. Everyone's views, well at least everyone who truly matters, will be represented in this new gathering to shape the path of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME21520;The Sanbao Earthquake of $YEAR$;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21520;A major earthquake has struck Sanbao, today, causing widespread devastation and the loss of thousands of lives. Tremors have been reported as far away inland as Dayan, but as damaging as the earthquake and its aftershocks were, the fires that burned out of control afterward were even more destructive. Within three days, over 30 fires, caused by ruptured gas mains, destroyed approximately 25,000 buildings on 490 city blocks. Due to a widespread practice by insurers to indemnify Sanbao properties from fire, but not earthquake damage, most of the destruction in the city was blamed on the fires. Some property owners deliberately set fire to damaged properties, in order to claim them on their insurance. In all, the fires burned for four days and nights. Army units are hard at work bringing in supplies to the survivors, and we can rest assured that the quake will leave its mark on public memory for generations to come.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC21510;The eruption of the Krakatoa volcano and the resultant tsunami left over 36500 dead in the $COUNTRY_ADJ$ East Indies, and the sound of the eruption was heard 3000 miles away at Rodrigues Island in the Indian Ocean. Over 70% of the island and its surrounding archipelago were destroyed as it collapsed into a caldera. Additional seismic activity and tsunamis were reported to have continued and the eruption was one of the deadliest and most destructive volcanic events in recorded history. The explosion had a tremendous global impact, with the sky darkening worldwide for years afterwards, producing intensely red sunsets and other optical effects, as well as global average temperature dropping by more than a degree Celsius.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME5000000;The Turkish Constitution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC65000000;An envoy of the Ottoman Sublime Porte arrived in $CAPITAL$ today with the Turkish demands to repel the Sretenje or Candlemas constitution, drafted in 1835 but never de facto adopted, and the draft of a new constitution, molded within the whims and wishes of the Ottoman Empire. This new constitution, dubbed 'The Turkish Constitution', would repel civil liberties and has the backing of Serbia's guarantor, Russia, and of Austria. Bowing to the Sublime Porte wishes means the abdication of the current Serbian Prince, currently under pressure to implement the 1835 constitution, and the confirmation of Turkish sovereignty over Serbia. Defying their commands might spell a difficult war.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVT5000000OPTA;We have no choice but to accept it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVT5000000OPTB;We refuse the Turkish outrageous demands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVTNAME97121;The $PROVINCENAME$ Massacre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC97121;"Besieged forces and civilians in $PROVINCENAME$ were unprepared for an extended siege and surrendered to rebel forces under Nana Sahib, in return for a safe passage to Allahabad. However, under ambiguous circumstances, their evacuation turned into a massacre, and most of the men were killed. As a $COUNTRY_ADJ$ rescue force approached $PROVINCENAME$, 120 $COUNTRY_ADJ$ women and children captured by the rebel forces were killed in what came to be known as the $PROVINCENAME$ Massacre, their remains being thrown down a nearby well in an attempt to hide the evidence. Following the discovery of the massacre, the outraged $COUNTRY_ADJ$ forces engaged in widespread retaliation against captured rebel soldiers and local civilians. The murders greatly embittered the $COUNTRY_ADJ$ rank-and-file against the rebels and inspired the war cry 'Remember $PROVINCENAME$!'";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
