support_french_foreign_legion_desc;'La Légion Étrangère', known in English as 'The Foreign Legion', is a military unit of the French army, with a unique distinction in that it accepts its recruits regardless of their national and personal backgrounds. While originally established as early as 1830, the Legion did not win the lasting legacy it enjoys today until it had seen action during, among others, The Spanish Carlist Wars, The French Intervention in Mexico, the Battle of Camarón, the Franco-Prussian war and, in fact, almost every conflict involving France up until and through the modern era. The image of the young man, perhaps on the run from some personal tragedy, oppression, debt or a criminal past, who joins the French Foreign Legion to serve a tour of personal redemption in the deserts of French Algeria, has since become one of the most iconic and enduring images of the 19th century. Promote the Legion, and see recruits flock to our banners.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_togoland_title;Claim Togo;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
claim_togoland_desc;Utilizing a bit of persuasion and maybe a kidnapping or two, a $COUNTRY_ADJ$ based off Fernando Pó has a plan to claim the region called Togoland, contacting local chieftains, establishing deals and pacts and funding research stations. He just needs a bit of official backing, and funding, to put his plan into action.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
colonial_legacy_title;Colonial Legacy;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_legacy_desc;Though our nation has been exploited during our time as a colony, our newfound independence can now benefit from the tools of our old masters.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
search_for_aegean_civilizations_title;The Search for the Aegean Civilizations;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
search_for_aegean_civilizations_desc;"Interest has been growing in the academic community about the fate of the so-called 'Aegean Civilizations' and especially the location of the ancient city of Troy. Funding researchers to scour Greece and Anatolia for the remains of these civilizations, and making sure our education spending is high, will increase the prestige of our nation if they find the treasures of the ancient world.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rename_the_falklands_title;The Falklands/Malvinas Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rename_the_falklands_desc;"Now that we captured what the Argentinians call 'Malvinas' and the British call 'Falklands', it's time to rename it to something more in line with its rightful owners culture.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luderitz_expedition_title;Found the $COUNTRY_ADJ$ South West Africa Colony;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luderitz_expedition_desc;"First discovered in 1487 by the Portuguese explorer Bartolomeu Dias, the small coastal area known as Angra Pequena was made into a trading station by German trader Adolf Lüderitz in 1883. He concluded treaties with the neighboring chiefs, buying large tracts of land for a total sum of 560 pounds sterlings and 260 rifles. The new land was then named 'Lüderitzland'. Lüderitz has plans to send expeditions further north, in the place the natives call Otjozondjii, known in German as Swakopmund but under the belief that a Great Power was about to claim the area as a protectorate, Lüderitz stalled his plans and asked for the protection of the $COUNTRY_ADJ$ Government in $YEAR$. Extending our protection to him and hoisting the $COUNTRY_ADJ$ flag in Lüderitzbucht, declaring these lands 'protection areas' can start the $COUNTRY_ADJ$ South West Africa Colony, though we risk some attrition with other Great Powers..";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
search_for_machu_picchu_title;The Search for the Lost City of the Incas;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
search_for_machu_picchu_desc;In 1909, returning from the Pan-American Scientific Congress in Santiago, a $COUNTRY_ADJ$ historian traveled through Peru and was invited to explore the Inca ruins at Choqquequirau in the Apurímac Valley. Captivated by the old tales of the Inca Empire, he's now organizing an expedition in order to search for the Inca capital, the Lost City of the Incas, founded by Mano Inca, their last emperor, and mentioned only in the old chronicles. We can contribute to this expedition and help him in his quest, by direct funding and by making sure our education spending is high. Finding the city will bring much renown to the $COUNTRY_ADJ$ scientific community.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_israel_title;Claim Greater Israel;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_israel_desc;The land that was promised to us is larger than just Palestine. Israel needs to expand beyond the confines of the borders drawn by the Great Powers if it is to be reckoned as power and if we want to truly secure the future of the Hebrew people.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
make_crete_a_state_title;Integrate Crete;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
make_crete_a_state_desc;Now that Crete is securely in our hands, it must be administered efficiently. We will remove the old institutions from the island and run it with a modern, western hand.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secularize_society_title;Secularize Society;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secularize_society_desc;In order to partake in the industries dealing with alcohol production and to properly compete with the Western powers in the field of science, a secularization of our society is of the utmost importance, some leading academics in our country advise. The separation of state and religion will certainly anger the conservation sectors in our society, but it will allows us to better face the challenges of this century. Once we take this decision, however, there's no going back, as the changes in our society will be so profound that their effects will linger in a way or another.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_spawn_eic_title;Option: Enable the EIC Minimod;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_spawn_eic_desc;The East India Company minimod transfers India to the EIC for a while, later on they are integrated through decision by the UK. Not tested so use at your own risk.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_bankruptcy_events_title;Option: Disable the Bankruptcy Events;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_bankruptcy_events_desc;Disabling the Bankruptcy events will stop you from getting the CB and effects that happen when a country goes bankrupt on you. It won't stop the event for the AI nor will stop countries going bankrupt.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mobilize_tribesmen_title;Rally the Tribesmen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mobilize_tribesmen_desc;A portion of our country is home to tribes with a nomadic lifestyle and bits of a centuries old warrior culture. By reaching to these people and rallying them to our cause, we can raise a much greater army to fulfill our country's destiny.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enable_options_title;Show 'Options' Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enable_options_desc;This decision shows all optional decisions to tweak and change the game's behavior from vanilla HPM. This, along with all decisions it enables, will disappear January 1st 1837 to reduce clutter, so you have a year in-game to pick and choose what you want. Once a tweak is chosen, you can't disable it anymore, so if you misclick you need to edit your save or start a new game.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
disable_options_title;Hide 'Options' Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
disable_options_desc;This will hide all optional tweaks to vanilla HPM. You still have until 1837 to change your mind though.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_anarcho_liberals_title;Option: Disable Anarcho-Liberal Ideology;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_anarcho_liberals_desc;This tweak will stop anarcho-liberal ideology from spawning. It may help performance a bit. Some people think they are too unrealistic for them, so they might want to disable it. I didn't test any balance issues that might arise without them in the game though.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_starting_party_loyalty_title;Option: Remove Starting Party Loyalty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_starting_party_loyalty_desc;This option will remove all starting party loyalty.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_hpm_crisis_title;Option: Enable Crisis from the Start;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_hpm_crisis_desc;In HPM, crisis only start after 1870 and after Revolution and Counter-revolution is researched and an event fires. This is to stop stuff like free Ireland in 1840 because of the militancy that the famine generates, among other weird crisis. Selecting this option will remove these restrictions and make crisis happen from the start of the game, like it happens in Vanilla Victoria 2.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_enable_fantasy_countries_title;Option: Enable Scrapped Vanilla/NNM Tags;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_enable_fantasy_countries_desc;This option enables Iberia, Byzantium and Babylonia and their respective decisions. No, I won't add any flavor for these countries and they aren't tested to work with the rest of the mod, so weird shit might happen.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_enable_easter_eggs_title;Option: Enable Easter Eggs;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_enable_easter_eggs_desc;Vanilla Victoria 2 has a few Easter Egg events that happen only for a few countries. These events are disabled in HPM but can be enabled again with this decision.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_workplace_events_title;Option: Disable Workplace Events;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_disable_workplace_events_desc;"A few province events related to the workplace, such as 'The Old Man and the Sea', 'All the Tea in PROVINCENAME' and 'Blood and Iron Mine' can get quite spammy. I increased the MTTH and tried to balance it out, adding more requirements, but if you still find it spammy, you can use this option to completely disable them. Keep in mind that I didn't test balance with these events disabled or anything like this, and this might help improve performance a little bit. A few events that only trigger because you have no or low workplace safety standards are still in though. Pass workplace reforms if you want to get rid of them.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_spawn_occitania_title;Option: Spawn Occitania;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
option_spawn_occitania_desc;Self explanatory. Dismantling options weren't changed so Occitania will not be released if France is dismantled, you need to liberate them manually. The Jules Ferry Law decision was adapted to accommodate this tweak though.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
found_la_plata_title;A New Capital for the Province of Buenos Aires;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
found_la_plata_desc;"Governor Dardo Rocha of the Province of Buenos Aires plans to build a new provincial capital now that the city of Buenos Aires is  federalized. With his approval, urban planner Pedro Benoit designed a city layout based on a rationalist conception of urban centers. The city has the shape of a square with a central park and two main diagonal avenues, north to south and east to west. In addition, there are numerous other shorter diagonal streets. This design is copied in a self-similar manner in small blocks of six by six blocks in length. For every six blocks, there is a small park or square. Other than the diagonal streets, all streets are on a rectangular grid and are numbered consecutively. The planned name for the new provincial capital is 'La Plata' and with our approval, the new city will be ready in no time.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sado_treaty_port_title;The Sado Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sado_treaty_port_desc;The island of Sado is an important producer of gold and silver in Japan, being one of its most important mines since the beginning of the Edo period. It would not only be strategically located as a naval base, it would also be an excellent source of income for $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rename_bismarck_islands_title;Renaming the New Guinea Islands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rename_bismarck_islands_desc;Tombara and Birara are the native names for our new possession in New Guinea. Now a proposal came forward for our administration to change the name these islands to celebrate our ownership of the new colonies.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_of_emergency_title;Declare State of Emergency;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
state_of_emergency_desc;Our nation is under threat and we must do everything we can do to secure its future. Declaring a State of Emergency, suspending a few basic rights and controlling the press will allow us to keep the spirits up for a while and it will suppress dissent, but the people won't forget this and in the end we will have to deal with much resentment.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
national_awakening_title;National Awakening;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
national_awakening_desc;As the great nation of $COUNTRY$ shakes off the shackles of its old oppressors, $COUNTRY_ADJ$ everywhere rejoice. Our citizens in foreign regions and countries now demand reunification with $COUNTRY$, autonomy or independence. The Spring of the $COUNTRY_ADJ$ people has begun!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
appoint_amir_kabir_title;Appoint Amir Kabir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
appoint_amir_kabir_desc;Amir Kabir Mirza Taghi Khan Farahani was chief minister to Naser al-Din Shah Qajar and one of the most capable and innovative figures to appear in the whole Qajar period. Son of the cook of a major statesman, he showed at a very young age his intelligence on all matters brought to him and was recompensed for it, rising to the highest positions of power.  He remains a controversial historical figure: considered by some to be Iran's first reformer and wildly respected by liberal nationalists, he is seen as a modernizer who did great work.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_tisza_title;Claim the Tisa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_tisza_desc;"Once called 'The most Hungarian river' because it flowed entirely within the Kingdom of Hungary, today it crosses several national borders. Our nation is one of these and our fast growing population needs more land. The Tisas would make an excellent natural border, and the Romanians living in Pancevo would make the perfect excuse to execute this plan.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alaskan_frontier_title;The Alaskan Frontier;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alaskan_frontier_desc;"With more and more explorers wandering into Alaska and the north, multiple claims of ownership can develop and cause unnecessary border tensions. We can 	establish a fort in the Selkirk lands to cement our control and claims in the border with Alaska.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
